Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month,Cluster
-0.7446920677279727,35,33,30,31,0,8,1,1,2,2,-0.38446860158834645,1,-0.38627451162738763,-0.7578507300380191,9,1
-0.7446920677279727,36,52,10,10,0,8,0,1,2,1,-0.4320570736498953,0,-0.4338919863233421,-0.7578507300380191,9,1
-0.7446920677279727,36,52,10,10,0,8,1,1,2,1,-0.42772462189330235,1,-0.4295568941685826,-0.7578507300380191,9,1
-0.7446920677279727,39,34,33,32,1,0,0,1,0,0,-0.40287724047505574,0,-0.4046943695972153,-0.7578507300380191,9,0
-0.7446920677279727,39,34,33,32,1,0,1,1,0,0,-0.41077154980228636,1,-0.4125934900847414,-0.7578507300380191,9,0
-0.7446920677279727,40,2,34,2,1,0,0,1,0,0,-0.41320320256685633,0,-0.4150266248119186,-0.7578507300380191,9,0
-0.7446920677279727,40,2,34,2,1,0,1,1,0,0,-0.434745591143117,1,-0.4365821423245169,-0.7578507300380191,9,0
-0.7446920677279727,41,11,35,11,0,8,0,0,0,0,-0.27250982852666733,0,-0.2742475056676359,-0.7578507300380191,9,1
-0.7446920677279727,41,11,35,11,0,8,1,0,0,0,-0.27574632410767946,1,-0.27748597372000555,-0.7578507300380191,9,1
-0.7446920677279727,42,36,36,34,1,4,0,1,0,0,-0.37693390288122824,0,-0.3787352209234582,-0.7578507300380191,9,2
-0.7446920677279727,42,36,36,34,1,4,1,1,0,0,-0.37255007817890495,1,-0.3743487245138992,-0.7578507300380191,9,2
-0.7446920677279727,43,35,37,33,1,0,0,1,0,0,-0.438204702822294,0,-0.4400433621476845,-0.7578507300380191,9,0
-0.7446920677279727,43,35,37,33,1,0,1,1,0,0,-0.4300535287664116,1,-0.43188722038616084,-0.7578507300380191,9,0
-0.7446920677279727,45,37,39,35,1,4,0,1,0,6,-0.22903119212354664,0,-0.23074237135564296,-0.7578507300380191,9,2
-0.7446920677279727,45,37,39,35,1,4,1,1,0,6,-0.21952719716343164,1,-0.22123258421773193,-0.7578507300380191,9,2
-0.7446920677279727,48,42,40,39,1,5,0,1,0,6,-0.3705636576106647,0,-0.3723610933283178,-0.7578507300380191,9,2
-0.7446920677279727,48,42,40,39,1,5,1,1,0,6,-0.3452881683113318,1,-0.3470701999669545,-0.7578507300380191,9,2
-0.7446920677279727,50,72,42,63,0,8,0,1,4,4,-0.4761864340322671,0,-0.4780482411961289,-0.7578507300380191,9,1
-0.7446920677279727,50,72,42,63,0,8,1,1,4,4,-0.4727444466683336,1,-0.47460415612456114,-0.7578507300380191,9,1
-0.7446920677279727,51,45,43,42,0,8,0,1,2,2,0.19959041842001843,0,0.19814046118834397,-0.7578507300380191,9,1
-0.7446920677279727,51,45,43,42,0,8,1,1,2,2,0.22353021113036217,1,0.22209484392491982,-0.7578507300380191,9,1
-0.7446920677279727,51,45,43,42,0,8,2,1,2,2,-0.4936532355805866,2,-0.4866498864992484,-0.7578507300380191,9,1
-0.7446920677279727,51,45,43,42,1,0,0,1,0,0,-0.3910614629570749,0,-0.3928713909933259,-0.7578507300380191,9,0
-0.7446920677279727,51,45,43,42,1,0,1,1,0,0,-0.3833041481517918,1,-0.3851093485185985,-0.7578507300380191,9,0
-0.7446920677279727,52,49,44,45,1,0,0,1,0,0,-0.3493123823935427,0,-0.3510968665929168,-0.7578507300380191,9,0
-0.7446920677279727,52,49,44,45,1,0,1,1,0,0,-0.3586793828317101,1,-0.36046957571802907,-0.7578507300380191,9,0
-0.7446920677279727,53,50,45,46,1,1,0,1,0,0,-0.40352796445430683,0,-0.4053454901580092,-0.7578507300380191,9,0
-0.7446920677279727,53,50,45,46,1,1,1,1,0,0,-0.4197618153050979,1,-0.4215892346746572,-0.7578507300380191,9,0
-0.7446920677279727,56,56,48,50,1,0,0,1,0,6,-0.271088510361461,0,-0.27282532128484915,-0.7578507300380191,9,0
-0.7446920677279727,56,56,48,50,1,0,1,1,0,6,-0.25668696124171914,1,-0.25841499518938404,-0.7578507300380191,9,0
-0.7446920677279727,57,47,24,21,0,8,0,1,2,2,-0.34489430906073243,0,-0.34667610068015814,-0.7578507300380191,9,1
-0.7446920677279727,57,47,24,21,0,8,1,1,2,2,-0.34665811353080783,1,-0.3484409800949416,-0.7578507300380191,9,1
-0.7446920677279727,57,47,57,55,0,8,0,1,4,5,0.9234865967063998,0,0.9224778155683663,-0.7578507300380191,9,1
-0.7446920677279727,57,47,57,55,0,8,1,1,4,5,0.9289835018995474,1,0.9279780708319149,-0.7578507300380191,9,1
-0.7446920677279727,57,47,57,55,1,2,0,1,0,6,-0.47928593509133166,0,-0.48114963123569987,-0.7578507300380191,9,0
-0.7446920677279727,57,47,57,55,1,2,0,1,4,5,-0.35732656192747747,0,-0.35911593034164174,-0.7578507300380191,9,0
-0.7446920677279727,57,47,57,55,1,2,1,1,4,5,-0.3392946579761242,1,-0.3410730369070106,-0.7578507300380191,9,0
-0.7446920677279727,58,65,49,59,0,8,0,0,2,1,0.9894152103936841,0,0.9884466092277491,-0.7578507300380191,9,1
-0.7446920677279727,58,65,49,59,0,8,1,0,2,1,1.0130296411144022,1,1.012075431683928,-0.7578507300380191,9,1
-0.7446920677279727,58,65,49,59,0,8,2,0,2,1,-0.5023523877242595,2,-0.5040587941246856,-0.7578507300380191,9,1
-0.7446920677279727,60,57,51,51,0,8,0,0,2,1,-0.4898345132812972,0,-0.49170463822120114,-0.7578507300380191,9,1
-0.7446920677279727,60,57,51,51,0,8,1,0,2,1,-0.49122158281601663,1,-0.49309255310078814,-0.7578507300380191,9,1
-0.7446920677279727,62,58,53,52,1,3,0,1,0,0,-0.44099596620697645,0,-0.4428363266584584,-0.7578507300380191,9,2
-0.7446920677279727,62,58,53,52,1,3,1,1,0,0,-0.4328276678358506,1,-0.43466305014533485,-0.7578507300380191,9,2
-0.7446920677279727,64,62,55,56,0,8,0,1,2,1,0.6289483745190518,0,0.627760088051124,-0.7578507300380191,9,1
-0.7446920677279727,64,62,55,56,0,8,1,1,2,1,0.7047919667322939,1,0.703649902886814,-0.7578507300380191,9,1
-0.7446920677279727,65,61,56,55,0,8,0,1,2,1,0.3404721599278854,0,0.3391080626002249,-0.7578507300380191,9,1
-0.7446920677279727,65,61,56,55,0,8,1,1,2,1,0.37895049627991856,1,0.37760984944506465,-0.7578507300380191,9,1
-0.7446920677279727,66,61,57,55,0,8,0,1,0,6,-0.2938638496352501,0,-0.29561454091263595,-0.7578507300380191,9,1
-0.7446920677279727,66,61,57,55,0,8,1,1,0,6,-0.44147544703379304,1,-0.44331609970325386,-0.7578507300380191,9,1
-0.7446920677279727,66,61,57,55,0,8,0,1,4,4,-0.20634147442597478,0,-0.2080388254858554,-0.7578507300380191,9,1
-0.7446920677279727,66,61,57,55,0,8,1,1,4,4,-0.19793343564144059,1,-0.1996256624503341,-0.7578507300380191,9,1
-0.7446920677279727,66,61,57,55,0,8,2,1,4,4,-0.4993042596109253,2,-0.4979588225551426,-0.7578507300380191,9,1
-0.7446920677279727,66,61,57,55,0,8,0,0,4,5,0.17229425992195838,0,0.17082766713819955,-0.7578507300380191,9,1
-0.7446920677279727,66,61,57,55,0,8,0,1,4,5,4.450068077942587,0,4.4512085600393485,-0.7578507300380191,9,1
-0.7446920677279727,66,61,57,55,0,8,1,0,4,5,0.1709071903872389,1,0.16943975225861252,-0.7578507300380191,9,1
-0.7446920677279727,66,61,57,55,0,8,1,1,4,5,4.611122262807239,1,4.61236089883584,-0.7578507300380191,9,1
-0.7446920677279727,66,61,57,55,0,8,2,1,4,5,-0.441321328196602,2,-0.38192228472102835,-0.7578507300380191,9,1
-0.7446920677279727,66,61,57,55,1,0,0,1,0,6,0.444125640096491,0,0.44282471403405443,-0.7578507300380191,9,0
-0.7446920677279727,66,61,57,55,1,0,1,1,0,6,0.38114240863108023,1,0.37980309764984416,-0.7578507300380191,9,0
-0.7446920677279727,66,61,57,55,1,0,2,1,0,6,-0.46536386679840647,2,-0.43003666721337813,-0.7578507300380191,9,0
-0.7446920677279727,66,61,57,55,1,1,0,1,0,6,-0.38053000908235285,0,-0.3823335187594245,-0.7578507300380191,9,0
-0.7446920677279727,66,61,57,55,1,1,1,1,0,6,-0.3752557199873701,1,-0.37705601526667387,-0.7578507300380191,9,0
-0.7446920677279727,66,61,57,55,1,1,2,1,0,6,-0.4936874842110735,2,-0.48671842550564776,-0.7578507300380191,9,0
-0.7446920677279727,66,61,57,55,1,2,0,1,4,5,-0.34588751934485257,0,-0.34766991627294885,-0.7578507300380191,9,0
-0.7446920677279727,66,61,57,55,1,2,1,1,4,5,-0.3318284565299798,1,-0.3336022852094805,-0.7578507300380191,9,0
-0.7446920677279727,66,61,57,55,1,4,0,1,0,6,-0.15640697117607322,0,-0.1580738898207229,-0.7578507300380191,9,2
-0.7446920677279727,66,61,57,55,1,4,1,1,0,6,-0.15685220337240294,1,-0.15851939336231874,-0.7578507300380191,9,2
-0.7446920677279727,66,61,57,55,1,4,2,1,0,6,-0.49509167806103643,2,-0.4895285247680215,-0.7578507300380191,9,2
-0.7446920677279727,66,61,57,55,1,5,0,1,0,6,-0.3777901186434008,0,-0.3795919585034502,-0.7578507300380191,9,2
-0.7446920677279727,66,61,57,55,1,5,1,1,0,6,-0.360271944149351,1,-0.36206310761681415,-0.7578507300380191,9,2
-0.7446920677279727,66,61,57,55,1,5,2,1,0,6,-0.5016331664840346,2,-0.502619474990299,-0.7578507300380191,9,2
-0.7446920677279727,67,64,58,58,0,8,0,0,0,0,0.93376118585247,0,0.9327586665282701,-0.7578507300380191,9,1
-0.7446920677279727,67,64,58,58,0,8,1,0,0,0,0.9684379242204573,1,0.9674565385179454,-0.7578507300380191,9,1
-0.7446920677279727,68,63,59,57,1,4,0,1,0,0,-0.391369700631457,0,-0.393179816522123,-0.7578507300380191,9,2
-0.7446920677279727,68,63,59,57,1,4,1,1,0,0,-0.3734405425715644,1,-0.3752397315970909,-0.7578507300380191,9,2
-0.7415039547347055,1,23,1,22,1,4,0,1,0,0,-0.44632162824768956,0,-0.44816523440600853,-0.7578507300380191,2,2
-0.7415039547347055,1,23,1,22,1,4,1,1,0,0,-0.44351324054776364,1,-0.4453551351436348,-0.7578507300380191,2,2
-0.7415039547347055,4,6,4,6,1,2,0,1,4,4,-0.16022569347536267,0,-0.16189493942748717,-0.7578507300380191,2,0
-0.7415039547347055,4,6,4,6,1,2,1,1,4,4,-0.13431660451202213,1,-0.13597006025692973,-0.7578507300380191,2,0
-0.7415039547347055,6,15,5,15,1,0,0,1,0,6,-0.42787874073049337,0,-0.4297111069329812,-0.7578507300380191,2,0
-0.7415039547347055,6,15,5,15,1,0,1,1,0,6,-0.4194193290002289,1,-0.4212465396426604,-0.7578507300380191,2,0
-0.7415039547347055,7,7,6,7,1,4,0,1,0,0,-0.37390289908313756,0,-0.37570236989028655,-0.7578507300380191,2,2
-0.7415039547347055,7,7,6,7,1,4,1,1,0,0,-0.3747419905300666,1,-0.3765419727186787,-0.7578507300380191,2,2
-0.7415039547347055,9,46,8,43,1,1,0,1,0,6,-0.36183025683650494,0,-0.3636223700123996,-0.7578507300380191,2,0
-0.7415039547347055,9,46,8,43,1,1,1,1,0,6,-0.3603404414103248,1,-0.3621316466232135,-0.7578507300380191,2,0
-0.7415039547347055,10,30,9,28,0,8,0,0,2,1,-0.42762187600184165,0,-0.4294540856589836,-0.7578507300380191,2,1
-0.7415039547347055,10,30,9,28,0,8,1,0,2,1,-0.4291459400585087,1,-0.43097907855136935,-0.7578507300380191,2,1
-0.7415039547347055,11,10,10,10,0,8,0,1,2,1,0.14866270488599675,0,0.1471817099304208,-0.7578507300380191,2,1
